#{"t_start": 1744769748.434291, "env_id": "SpaceInvadersNoFrameskip-v4"}
r,l,t
250.0,2389,954.618668
270.0,3272,956.272674
800.0,4609,958.477389
245.0,2595,959.781953
350.0,2987,961.306825
230.0,2527,962.607879
370.0,2583,963.894421
125.0,2315,964.968363
260.0,3708,966.691652
565.0,3631,968.355771
565.0,3949,970.198153
415.0,3435,971.812311
335.0,2872,973.165725
310.0,3007,974.618767
395.0,4359,976.754054
395.0,3826,978.578396
805.0,6545,981.77195
405.0,3013,983.261678
410.0,3911,985.216759
315.0,3629,992.725065
500.0,4911,995.129227
320.0,3433,996.836355
335.0,3099,998.32386
340.0,3649,1000.124335
285.0,2839,1001.550749
340.0,2607,1002.82954
350.0,4107,1004.80858
410.0,3809,1006.674995
425.0,3811,1008.519467
635.0,4277,1010.655671
470.0,4305,1012.716463
345.0,4316,1014.77459
455.0,3727,1016.439795
455.0,3539,1018.025903
345.0,3143,1019.448932
305.0,2583,1020.649403
455.0,4931,1022.919389
320.0,3471,1024.530763
365.0,3609,1026.2365
260.0,2705,1027.503314
425.0,2719,1028.725626
240.0,2619,1029.891251
590.0,4283,1031.854289
555.0,4893,1034.193854
565.0,4933,1036.424128
495.0,5539,1038.968352
510.0,3001,1047.789954
645.0,3539,1049.381501
305.0,3007,1050.785603
755.0,4905,1052.924841
720.0,4989,1055.129941
380.0,2596,1056.283655
555.0,4901,1058.494168
600.0,4359,1060.426247
270.0,2575,1061.624383
425.0,3631,1063.319047
665.0,6487,1066.192998
555.0,4615,1068.353423
350.0,2348,1069.446856
350.0,2593,1070.615597
605.0,6085,1073.501056
445.0,4389,1075.53887
440.0,3781,1077.392491
570.0,3563,1079.108749
385.0,2663,1080.323141
800.0,5085,1082.601361
210.0,2233,1083.654416
440.0,3549,1085.438668
345.0,2497,1086.696221
580.0,6555,1089.952836
775.0,4947,1092.396089
390.0,2924,1093.85779
445.0,4507,1101.386753
725.0,3773,1103.218274
430.0,3509,1104.899695
280.0,3395,1106.443638
395.0,4067,1108.299045
580.0,4413,1110.47632
545.0,4821,1112.900122
235.0,2493,1114.15126
400.0,3185,1115.610592
345.0,3882,1117.358662
265.0,2497,1118.522619
400.0,3191,1120.052157
860.0,4425,1122.035372
235.0,3081,1123.444416
300.0,3259,1124.950083
620.0,3937,1126.774212
520.0,3825,1128.753232
485.0,2732,1130.173044
350.0,3541,1131.879209
500.0,3897,1133.655106
295.0,2939,1134.94594
370.0,3231,1136.392418
465.0,3150,1137.781953
210.0,3639,1139.4883
295.0,3107,1140.889302
175.0,2863,1142.139035
250.0,3105,1143.568202
565.0,3713,1145.247651
230.0,3151,1146.667579
605.0,4751,1154.873582
320.0,4829,1157.190734
475.0,3097,1158.594658
195.0,1893,1159.450884
560.0,3579,1161.150419
530.0,4609,1163.229861
285.0,3251,1164.691175
285.0,3843,1166.504952
465.0,3827,1168.316492
475.0,3711,1170.133724
310.0,3605,1171.782933
480.0,5063,1174.112309
385.0,3784,1175.80673
440.0,2412,1176.940468
535.0,5110,1179.349434
635.0,3649,1181.000106
560.0,3955,1182.835307
425.0,4316,1184.97831
565.0,3543,1186.831742
545.0,5286,1189.376872
800.0,4189,1191.348189
305.0,2818,1192.765012
600.0,4161,1194.727248
330.0,3162,1196.202219
425.0,3724,1197.985347
410.0,4411,1200.073408
520.0,4174,1207.941298
575.0,4466,1210.128663
630.0,5241,1212.592495
170.0,2443,1213.750792
445.0,3889,1215.646207
540.0,5451,1218.290927
825.0,6725,1221.707985
540.0,3663,1223.602233
495.0,5661,1226.270787
485.0,4147,1228.194653
880.0,4433,1230.240959
605.0,5365,1232.671353
80.0,1451,1233.343431
325.0,3813,1235.14273
555.0,5202,1237.575234
490.0,4169,1239.585258
465.0,3163,1241.150295
195.0,2465,1242.381767
230.0,3113,1243.908607
580.0,5641,1246.553058
485.0,4333,1248.565413
890.0,6934,1251.944252
580.0,2967,1253.408348
550.0,3703,1255.147354
350.0,2589,1262.796968
275.0,3223,1264.318583
415.0,3009,1265.778503
1000.0,5001,1268.169436
525.0,2903,1269.611105
400.0,3007,1271.040524
365.0,2924,1272.519335
255.0,2801,1273.984827
910.0,4005,1276.067431
645.0,3915,1278.087678
385.0,2707,1279.518115
285.0,2639,1280.877165
375.0,3759,1282.789952
560.0,5571,1285.548336
190.0,2359,1286.745586
170.0,2127,1287.847991
580.0,4432,1290.16224
545.0,4292,1292.388587
245.0,2628,1293.772118
585.0,4185,1295.967668
575.0,4157,1298.128164
150.0,3197,1299.790376
600.0,5197,1302.419801
560.0,3785,1304.337897
595.0,3803,1306.157196
1000.0,4427,1308.38543
430.0,4403,1310.593926
280.0,3415,1312.383568
575.0,5262,1321.06664
885.0,5895,1324.070319
360.0,4327,1326.14129
525.0,4903,1328.4915
670.0,4029,1330.543668
495.0,2711,1331.96231
400.0,3335,1333.71422
600.0,4915,1336.277256
815.0,6813,1339.832683
490.0,3287,1341.521029
525.0,3585,1343.346397
455.0,4405,1345.639819
600.0,4569,1348.073549
305.0,3379,1349.788907
550.0,4682,1352.191745
425.0,3095,1353.815996
730.0,4139,1355.89848
430.0,3365,1357.593053
495.0,4559,1359.716593
